epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,9769.91,1.27914,0.613,0.93151,0.85373,0.59245,0.67934,0.37596,1.34956,0.59665,0.98191,0.000793,0.000793,0.000793
188,9822.11,1.26811,0.60737,0.92967,0.85461,0.59218,0.67953,0.37609,1.34985,0.5966,0.9819,0.0007435,0.0007435,0.0007435
189,9874.25,1.26225,0.60097,0.92912,0.85397,0.59215,0.6793,0.37606,1.3502,0.59663,0.98198,0.000694,0.000694,0.000694
190,9926.53,1.27014,0.60735,0.92912,0.8549,0.592,0.67959,0.37614,1.3503,0.59648,0.98197,0.0006445,0.0006445,0.0006445
191,9977.16,1.2292,0.57215,0.92709,0.85505,0.59215,0.67964,0.37613,1.3503,0.59648,0.98199,0.000595,0.000595,0.000595
192,10027.8,1.22573,0.56734,0.9231,0.85434,0.59255,0.67968,0.37629,1.35049,0.59662,0.98206,0.0005455,0.0005455,0.0005455
193,10078.3,1.21981,0.56416,0.92245,0.85521,0.59234,0.67968,0.37635,1.35066,0.59677,0.98205,0.000496,0.000496,0.000496
194,10128.9,1.21683,0.56323,0.92162,0.85542,0.59192,0.67973,0.37649,1.35064,0.59672,0.98208,0.0004465,0.0004465,0.0004465
195,10179.4,1.21286,0.56054,0.92186,0.85577,0.59187,0.67996,0.37662,1.35073,0.59672,0.98208,0.000397,0.000397,0.000397
196,10230.3,1.209,0.55815,0.91964,0.85433,0.5922,0.68002,0.37671,1.35079,0.59692,0.98214,0.0003475,0.0003475,0.0003475
197,10281,1.20738,0.55796,0.92004,0.85335,0.59296,0.68012,0.37688,1.35078,0.59686,0.98218,0.000298,0.000298,0.000298
198,10331.8,1.21084,0.55927,0.91789,0.85389,0.59271,0.68027,0.37683,1.35115,0.59698,0.98236,0.0002485,0.0002485,0.0002485
199,10382.4,1.20073,0.55467,0.91878,0.854,0.59258,0.68016,0.37686,1.35108,0.59713,0.98243,0.000199,0.000199,0.000199
200,10433.2,1.2031,0.55529,0.91851,0.8542,0.59273,0.68029,0.37685,1.35117,0.59706,0.98249,0.0001495,0.0001495,0.0001495
