epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2259.79,1.44104,0.74327,0.99333,0.83771,0.57343,0.65395,0.357,1.36899,0.63852,0.99453,0.007921,0.007921,0.007921
44,2312.28,1.44547,0.74225,0.98902,0.84116,0.57494,0.65666,0.35832,1.36803,0.63435,0.99504,0.0078715,0.0078715,0.0078715
45,2364.45,1.44527,0.74475,0.99281,0.8432,0.57344,0.65598,0.35824,1.37089,0.63588,0.99735,0.007822,0.007822,0.007822
46,2416.17,1.43865,0.73978,0.98832,0.84254,0.57386,0.65783,0.35847,1.3686,0.63519,0.99446,0.0077725,0.0077725,0.0077725
47,2468.29,1.43715,0.73944,0.99068,0.84573,0.57275,0.65738,0.35936,1.36821,0.63416,0.995,0.007723,0.007723,0.007723
48,2520.68,1.44657,0.74618,0.99324,0.84146,0.57701,0.65877,0.3598,1.36667,0.63267,0.99464,0.0076735,0.0076735,0.0076735
49,2573.24,1.43932,0.74127,0.99116,0.84371,0.57653,0.65933,0.36125,1.36477,0.63096,0.99529,0.007624,0.007624,0.007624
50,2625.28,1.43178,0.73731,0.9906,0.83994,0.57849,0.6589,0.36003,1.36338,0.63088,0.99363,0.0075745,0.0075745,0.0075745
51,2677.28,1.43136,0.73459,0.98756,0.84431,0.57756,0.65924,0.36022,1.36357,0.62859,0.99327,0.007525,0.007525,0.007525
52,2729.5,1.44446,0.73953,0.98835,0.84231,0.57978,0.66112,0.36155,1.36172,0.62732,0.99259,0.0074755,0.0074755,0.0074755
53,2781.48,1.42965,0.73341,0.98728,0.8412,0.58144,0.66212,0.36206,1.35968,0.62557,0.99162,0.007426,0.007426,0.007426
54,2833.7,1.43267,0.7342,0.98507,0.84399,0.58117,0.66248,0.36199,1.3602,0.62388,0.99171,0.0073765,0.0073765,0.0073765
55,2885.79,1.42219,0.72793,0.98324,0.84549,0.57954,0.66185,0.36191,1.35882,0.62438,0.99055,0.007327,0.007327,0.007327
56,2938.21,1.43207,0.73034,0.98619,0.8435,0.58008,0.66261,0.36243,1.35886,0.62357,0.99102,0.0072775,0.0072775,0.0072775
57,2990.27,1.42805,0.72867,0.9861,0.84057,0.58055,0.66193,0.36269,1.3566,0.62255,0.99066,0.007228,0.007228,0.007228
58,3042.52,1.41847,0.72366,0.98825,0.84636,0.57971,0.66321,0.36297,1.35611,0.62176,0.99065,0.0071785,0.0071785,0.0071785
59,3094.93,1.43082,0.72963,0.98318,0.84455,0.5816,0.66346,0.36369,1.35698,0.62148,0.9909,0.007129,0.007129,0.007129
60,3147.35,1.42381,0.72357,0.98515,0.84849,0.5811,0.66405,0.36431,1.35615,0.62049,0.99037,0.0070795,0.0070795,0.0070795
61,3199.88,1.41961,0.72138,0.98322,0.84959,0.58064,0.664,0.36435,1.35527,0.62006,0.99018,0.00703,0.00703,0.00703
62,3251.82,1.42149,0.72454,0.9823,0.84577,0.58231,0.66417,0.36414,1.35584,0.61877,0.98977,0.0069805,0.0069805,0.0069805
63,3304.26,1.42256,0.71872,0.98081,0.84674,0.58293,0.66507,0.36522,1.35494,0.61759,0.98987,0.006931,0.006931,0.006931
64,3356.37,1.40897,0.71681,0.98263,0.84587,0.58212,0.66469,0.36531,1.35443,0.61642,0.9901,0.0068815,0.0068815,0.0068815
65,3408.47,1.40996,0.71405,0.98077,0.84734,0.58202,0.66528,0.36538,1.35416,0.61611,0.98987,0.006832,0.006832,0.006832
66,3460.42,1.41623,0.72199,0.98474,0.84853,0.5817,0.66579,0.36537,1.35374,0.6153,0.9893,0.0067825,0.0067825,0.0067825
67,3512.3,1.41536,0.71772,0.98227,0.84847,0.58323,0.66657,0.36599,1.35296,0.61476,0.98888,0.006733,0.006733,0.006733
68,3564.62,1.41301,0.71622,0.97819,0.84792,0.58308,0.66648,0.36578,1.35261,0.61415,0.98834,0.0066835,0.0066835,0.0066835
69,3616.51,1.40744,0.71163,0.9777,0.84611,0.58333,0.66618,0.36573,1.35304,0.61422,0.98827,0.006634,0.006634,0.006634
70,3668.56,1.40582,0.71373,0.97953,0.8474,0.58386,0.66686,0.36602,1.35222,0.61351,0.98797,0.0065845,0.0065845,0.0065845
71,3720.93,1.41879,0.71678,0.98092,0.84381,0.58621,0.66746,0.36638,1.3514,0.61341,0.98762,0.006535,0.006535,0.006535
72,3773.02,1.41311,0.71489,0.979,0.84416,0.58683,0.66744,0.36643,1.35129,0.61324,0.98736,0.0064855,0.0064855,0.0064855
73,3825.13,1.41151,0.7117,0.97884,0.84363,0.58638,0.66772,0.36667,1.3509,0.61318,0.98727,0.006436,0.006436,0.006436
74,3877.08,1.39754,0.70535,0.97737,0.84576,0.58583,0.66791,0.36675,1.35068,0.6125,0.9871,0.0063865,0.0063865,0.0063865
75,3928.93,1.40218,0.70993,0.97845,0.84677,0.58665,0.6686,0.36702,1.3507,0.61165,0.98678,0.006337,0.006337,0.006337
76,3981.18,1.39964,0.70689,0.97175,0.84447,0.58704,0.66871,0.36696,1.35025,0.61109,0.98628,0.0062875,0.0062875,0.0062875
77,4033.41,1.40434,0.70687,0.97473,0.84516,0.58644,0.6687,0.36701,1.35017,0.61096,0.98617,0.006238,0.006238,0.006238
78,4085.33,1.40629,0.71,0.97458,0.84527,0.58686,0.66919,0.36731,1.34969,0.61068,0.986,0.0061885,0.0061885,0.0061885
79,4137.59,1.39953,0.70653,0.97659,0.84408,0.58847,0.66962,0.36769,1.34925,0.61054,0.98556,0.006139,0.006139,0.006139
80,4189.35,1.39808,0.70401,0.97774,0.84508,0.58812,0.66964,0.36788,1.34934,0.61026,0.98546,0.0060895,0.0060895,0.0060895
81,4241.61,1.40228,0.70668,0.9733,0.845,0.58738,0.66982,0.36803,1.34901,0.61,0.98511,0.00604,0.00604,0.00604
82,4293.81,1.39889,0.70387,0.97249,0.84445,0.5883,0.67018,0.3681,1.34923,0.60967,0.98492,0.0059905,0.0059905,0.0059905
83,4345.98,1.39449,0.70106,0.97171,0.84534,0.58821,0.67024,0.36833,1.34873,0.60919,0.98462,0.005941,0.005941,0.005941
84,4398.21,1.40108,0.70161,0.97316,0.84561,0.58837,0.67016,0.36848,1.34846,0.60888,0.98443,0.0058915,0.0058915,0.0058915
85,4450.6,1.39329,0.69944,0.96884,0.84691,0.58739,0.67026,0.36854,1.34827,0.60857,0.98429,0.005842,0.005842,0.005842
86,4502.74,1.38914,0.69608,0.97202,0.8471,0.58757,0.67057,0.36883,1.34793,0.60828,0.98418,0.0057925,0.0057925,0.0057925
87,4555.21,1.39929,0.70139,0.97195,0.84663,0.58809,0.67067,0.36879,1.34794,0.60816,0.9841,0.005743,0.005743,0.005743
88,4607.2,1.39225,0.70017,0.97334,0.84656,0.58832,0.67091,0.36888,1.34788,0.60793,0.98406,0.0056935,0.0056935,0.0056935
89,4659.49,1.394,0.69803,0.97139,0.84661,0.58857,0.67122,0.36889,1.3481,0.6076,0.98408,0.005644,0.005644,0.005644
90,4711.59,1.39083,0.69563,0.96896,0.84578,0.58924,0.67112,0.36888,1.34792,0.60731,0.98396,0.0055945,0.0055945,0.0055945
91,4763.39,1.37647,0.68781,0.96812,0.84521,0.58988,0.6715,0.36898,1.34794,0.60696,0.98383,0.005545,0.005545,0.005545
92,4815.8,1.38756,0.6963,0.96869,0.84576,0.58983,0.67165,0.36909,1.34772,0.60675,0.9838,0.0054955,0.0054955,0.0054955
93,4867.66,1.38744,0.69531,0.9695,0.84548,0.59011,0.67172,0.36906,1.34752,0.60652,0.98372,0.005446,0.005446,0.005446
94,4920.04,1.39179,0.69522,0.96956,0.84539,0.59024,0.67195,0.36924,1.34741,0.60617,0.98376,0.0053965,0.0053965,0.0053965
95,4972.31,1.38521,0.69056,0.96857,0.84559,0.59019,0.67211,0.36958,1.34713,0.60595,0.98372,0.005347,0.005347,0.005347
96,5024.38,1.38739,0.69348,0.96989,0.84549,0.59041,0.67215,0.36956,1.34731,0.60564,0.98381,0.0052975,0.0052975,0.0052975
97,5076.34,1.39297,0.69784,0.96708,0.84474,0.59066,0.67242,0.36963,1.34733,0.60565,0.98372,0.005248,0.005248,0.005248
98,5128.48,1.38164,0.68876,0.9668,0.84576,0.59026,0.67256,0.36968,1.34718,0.60549,0.98366,0.0051985,0.0051985,0.0051985
99,5180.35,1.38575,0.69186,0.96849,0.8458,0.59031,0.67261,0.36975,1.34705,0.60529,0.9837,0.005149,0.005149,0.005149
100,5232.01,1.3801,0.68632,0.96652,0.84728,0.58983,0.6728,0.36993,1.34685,0.60498,0.98361,0.0050995,0.0050995,0.0050995
101,5283.79,1.37822,0.68813,0.96519,0.84647,0.59054,0.67307,0.3699,1.34676,0.60474,0.98348,0.00505,0.00505,0.00505
102,5335.83,1.37378,0.68377,0.96583,0.84635,0.59066,0.67307,0.36986,1.34675,0.60487,0.98358,0.0050005,0.0050005,0.0050005
103,5387.99,1.37899,0.68464,0.96632,0.84729,0.59031,0.67295,0.37013,1.34661,0.60465,0.98349,0.004951,0.004951,0.004951
104,5440.23,1.37255,0.68219,0.96637,0.84729,0.59059,0.67335,0.37028,1.34653,0.60445,0.98346,0.0049015,0.0049015,0.0049015
105,5492.72,1.37821,0.68174,0.9626,0.84706,0.59051,0.67338,0.37031,1.34654,0.60417,0.98343,0.004852,0.004852,0.004852
106,5545.06,1.37351,0.6819,0.96555,0.84875,0.59049,0.67355,0.3703,1.34657,0.60408,0.98348,0.0048025,0.0048025,0.0048025
107,5596.92,1.36392,0.67732,0.96452,0.84762,0.59056,0.67348,0.37028,1.34678,0.60418,0.98347,0.004753,0.004753,0.004753
108,5648.81,1.37058,0.68087,0.9644,0.8481,0.5906,0.67358,0.37039,1.34688,0.60382,0.98346,0.0047035,0.0047035,0.0047035
109,5700.87,1.37019,0.68193,0.96254,0.84842,0.59071,0.67364,0.37031,1.3469,0.60361,0.9835,0.004654,0.004654,0.004654
110,5753.09,1.37257,0.68089,0.96069,0.84872,0.59047,0.67394,0.37057,1.34693,0.60367,0.98342,0.0046045,0.0046045,0.0046045
111,5805.19,1.36504,0.67391,0.96273,0.84824,0.59056,0.67381,0.37065,1.34671,0.60328,0.98332,0.004555,0.004555,0.004555
112,5857.68,1.36718,0.67755,0.96195,0.8495,0.58996,0.67395,0.37056,1.34664,0.60324,0.98319,0.0045055,0.0045055,0.0045055
113,5909.87,1.35939,0.67337,0.95866,0.84898,0.59001,0.67375,0.3706,1.34665,0.60315,0.98307,0.004456,0.004456,0.004456
114,5962.11,1.36639,0.67756,0.96375,0.84975,0.58986,0.67399,0.3707,1.34678,0.60301,0.98308,0.0044065,0.0044065,0.0044065
115,6014.36,1.37196,0.68048,0.95978,0.8497,0.59021,0.67401,0.37077,1.34682,0.60284,0.98306,0.004357,0.004357,0.004357
116,6066.71,1.37061,0.67791,0.96249,0.8497,0.59036,0.6739,0.37085,1.34689,0.60285,0.98304,0.0043075,0.0043075,0.0043075
117,6118.76,1.36205,0.67562,0.96256,0.84938,0.5904,0.67377,0.37098,1.34704,0.60275,0.98308,0.004258,0.004258,0.004258
118,6170.96,1.35895,0.67126,0.96068,0.84925,0.59011,0.67358,0.37097,1.34696,0.60256,0.98306,0.0042085,0.0042085,0.0042085
